lat,lon,mag,time,t
-30.4214,-71.7119,3.9,2015-10-20 21:45:23,1713109.0
-30.8176,-71.5045,4.5,2015-10-20 23:55:48,1720934.0
-31.7063,-72.0508,4.2,2015-10-21 02:12:22,1729128.0
-30.6918,-71.571,4.0,2015-10-21 03:10:28,1732614.0
-30.3618,-71.7019,4.1,2015-10-21 05:22:07,1740513.0
-22.395,-67.781,4.7,2015-10-21 09:22:07,1754913.0
18.1152,-66.84899999999999,2.0,2015-10-21 11:11:36,1761482.0
18.9358,-65.3444,3.3,2015-10-21 12:25:09,1765895.0
18.9902,-65.3874,3.1,2015-10-21 12:25:10,1765896.0
18.9888,-65.4377,2.5,2015-10-21 12:31:17,1766263.0
18.4589,-64.3655,3.2,2015-10-21 12:39:41,1766767.0
-20.3199,-69.1422,4.5,2015-10-21 14:39:17,1773943.0
