time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-03T08:23:49.150Z,11.8584,-43.7352,10,5,mb,,47,16.47,0.64,us,us10003jzd,2016-02-19T01:56:36.000Z,"Northern Mid-Atlantic Ridge",earthquake,5.9,1.8,0.058,95,reviewed,us,us
2015-10-03T08:26:56.480Z,-30.3288,-71.4924,39.37,4.5,mb,,120,0.365,0.62,us,us10003jzc,2016-01-04T22:28:54.040Z,"40km NW of Ovalle, Chile",earthquake,6.8,7.7,0.312,3,reviewed,us,us
2015-10-03T09:08:53.340Z,-31.7517,-72.0152,10.24,4,mwr,,139,1.024,0.59,us,us10003jzg,2016-01-04T22:28:54.040Z,"81km W of Illapel, Chile",earthquake,2.9,3.6,0.043,52,reviewed,us,us
2015-10-03T09:20:13.610Z,-5.1172,-79.8908,79.78,4,mb,,230,5.51,1.08,us,us20004055,2016-01-04T22:28:54.040Z,"11km NE of Morropon, Peru",earthquake,8.9,9.7,0.3,3,reviewed,us,us
2015-10-03T09:33:12.800Z,18.7842,-64.4263,31,2.8,Md,6,248.4,0.10420457,0.17,pr,pr15276002,2016-01-04T22:28:54.040Z,"45km NNE of Road Town, British Virgin Islands",earthquake,1.4,1.5,0,5,reviewed,pr,pr
2015-10-03T11:01:46.030Z,-31.7284,-72.2932,9.93,4.5,mwr,,115,1.193,0.36,us,us10003jzz,2016-01-04T22:28:55.040Z,"107km W of Illapel, Chile",earthquake,5.7,4.1,0.042,54,reviewed,us,us
2015-10-03T11:21:01.700Z,-29.8205,-71.7255,28.54,5.1,mww,,114,0.434,0.72,us,us10003k08,2016-02-19T01:56:39.000Z,"39km WNW of Coquimbo, Chile",earthquake,4.5,3.6,,,reviewed,us,us
2015-10-03T12:12:16.570Z,-31.1812,-71.7663,30.73,4.2,mb,,190,0.518,0.54,us,us10003k0d,2016-01-04T22:28:55.040Z,"75km NW of Illapel, Chile",earthquake,7,8,0.303,3,reviewed,us,us
2015-10-03T13:48:10.650Z,-29.8651,-71.6961,35,4.3,mwr,,191,0.401,1.15,us,us10003k0k,2016-01-04T22:28:56.040Z,"35km WNW of Coquimbo, Chile",earthquake,5.1,2,0.045,47,reviewed,us,us
2015-10-03T14:21:07.620Z,12.5825,-89.1255,52.71,4.6,mb,,199,1.102,1.38,us,us10003k0r,2016-01-04T22:28:56.040Z,"99km SW of Puerto El Triunfo, El Salvador",earthquake,8.1,13.9,0.146,14,reviewed,us,us
2015-10-03T15:45:57.300Z,18.7388,-64.2922,41,2.5,Md,6,306,0.03952587,0.34,pr,pr15276004,2016-01-04T22:28:56.040Z,"49km NE of Road Town, British Virgin Islands",earthquake,4.8,2.2,0,5,reviewed,pr,pr
2015-10-03T16:09:32.130Z,13.6234,-49.4518,10,4.3,mb,,257,9.033,1.07,us,us10003ncd,2016-01-04T22:28:57.040Z,"North Atlantic Ocean",earthquake,5.2,2,0.153,12,reviewed,us,us
2015-10-03T16:51:17.400Z,18.4726,-64.3585,21,2.6,Md,6,252,0.04491576,0.12,pr,pr15276003,2016-01-04T22:28:57.040Z,"27km ENE of Road Town, British Virgin Islands",earthquake,1.8,0.8,0,6,reviewed,pr,pr
2015-10-03T18:27:52.100Z,-30.6127,-71.7054,25.38,4,mwr,,128,0.086,0.89,us,us10003k1w,2016-01-04T22:28:58.040Z,"48km W of Ovalle, Chile",earthquake,1.3,5.3,0.048,41,reviewed,us,us
2015-10-03T18:59:37.000Z,-30.779,-71.414,48.9,4.2,mb,,,,0.96,us,us10003k1x,2016-01-04T22:28:58.040Z,"28km SW of Ovalle, Chile",earthquake,5.1,5.2,0.236,6,reviewed,guc,us
2015-10-03T19:43:21.150Z,-29.4375,-71.2152,41.46,4.4,mb,,94,0.479,1.26,us,us10003k23,2016-01-04T22:28:58.040Z,"52km N of La Serena, Chile",earthquake,4.7,5.6,0.161,11,reviewed,us,us
2015-10-03T19:53:27.210Z,-38.3206,-74.2029,10,4.6,mb,,138,1.911,1.33,us,us10003k25,2016-01-04T22:28:58.040Z,"91km SW of Canete, Chile",earthquake,3.8,1.8,0.125,19,reviewed,us,us
2015-10-03T23:23:31.640Z,-31.6756,-72.9083,10,3.9,mwr,,153,1.479,1.24,us,us10003k3v,2016-01-04T22:29:00.040Z,"165km W of Illapel, Chile",earthquake,5.6,1.9,0.055,32,reviewed,us,us
2015-10-04T02:10:13.900Z,18.7735,-64.3186,36,2.6,Md,5,316.8,0.04491576,0.07,pr,pr15277000,2016-01-04T22:29:00.040Z,"50km NE of Road Town, British Virgin Islands",earthquake,1.9,0.7,0,4,reviewed,pr,pr
2015-10-04T03:49:49.460Z,-30.3105,-72.1018,5.89,5.5,mww,,87,0.541,0.72,us,us10003k53,2016-02-19T01:56:40.000Z,"83km WSW of Coquimbo, Chile",earthquake,5.4,2.9,,,reviewed,us,us
2015-10-04T04:48:30.000Z,19.1245,-66.4935,40,2.8,Md,11,273.6,0.64499037,0.34,pr,pr15277001,2016-01-04T22:29:01.040Z,"73km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.2,7.5,0,3,reviewed,pr,pr
2015-10-04T04:49:17.600Z,19.1404,-66.5029,47,2.4,Md,5,306,0.66026173,0.27,pr,pr15277002,2015-10-04T08:01:38.610Z,"75km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.2,6.1,0,2,reviewed,pr,pr
2015-10-04T05:28:08.800Z,18.412,-67.6764,10,2.9,Md,10,316.8,0.18954452,0.23,pr,pr15277003,2016-01-04T22:29:02.040Z,"45km W of Rincon, Puerto Rico",earthquake,1.4,0.8,0,9,reviewed,pr,pr
2015-10-04T06:45:44.200Z,19.1068,-66.4783,13,2.6,Md,9,270,0.62792238,0.27,pr,pr15277004,2016-01-04T22:29:02.040Z,"71km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.8,2.9,0,3,reviewed,pr,pr
2015-10-04T07:45:43.700Z,-57.8536,-25.4046,46.67,4.5,mb,,67,16.692,0.76,us,us10003nja,2016-01-04T22:29:03.040Z,"146km NNE of Bristol Island, South Sandwich Islands",earthquake,10.7,5.4,0.121,20,reviewed,us,us
2015-10-04T07:47:36.100Z,19.2161,-64.8158,56,3,Md,3,288,0.66475331,0.2,pr,pr15277005,2016-01-04T22:29:03.040Z,"90km NNW of Road Town, British Virgin Islands",earthquake,4.2,7.6,0,1,reviewed,pr,pr
